DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA
34669.00,0.01,-0.01,0.00,0.00,-0.01,0.00,0.00,0.00,0.01,0.00,-0.01,-0.01,0.00,0.00,-0.01,0.01,0.00,-0.01,0.00,0.00,0.00,-0.01,-0.01,-0.01
34670.00,-0.01,0.00,0.00,0.01,0.00,-0.01,-0.01,0.00,-0.01,0.00,-0.01,0.02,-0.03,0.00,0.00,-0.01,-0.01,0.00,0.01,-0.02,0.00,-0.02,-0.01,0.01
34673.00,0.01,0.01,0.01,0.00,0.01,0.01,0.00,0.01,0.01,0.00,0.00,0.02,0.01,0.00,-0.03,-0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00
34674.00,0.00,0.00,0.00,-0.01,-0.01,-0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,0.00
34675.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,-0.03,0.00,-0.01,0.00,0.00,0.00,0.00,-0.01,0.00,-0.01
34676.00,0.00,0.00,-0.01,-0.01,0.00,-0.01,-0.01,0.00,-0.01,-0.01,0.00,-0.01,-0.03,0.00,0.01,0.00,-0.01,0.00,0.00,-0.01,0.00,-0.02,0.00,-0.01
34677.00,-0.01,-0.02,-0.01,0.00,-0.01,0.00,0.00,-0.01,-0.02,-0.01,-0.01,0.00,-0.04,0.00,0.00,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.02,-0.01,0.00
34680.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,-0.01,-0.01,0.02,-0.01,0.00,0.02,-0.03,0.00,0.00,-0.01,0.00,0.00,0.00,-0.01,0.00
34681.00,0.01,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,-0.01,-0.01,0.00,-0.01,0.02,0.00,0.01,0.02,-0.01,0.00,0.00,0.01,-0.01,0.00,0.01,0.00
34682.00,0.01,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.01,0.02,-0.01,0.01,-0.01,0.00,0.00,0.01,0.00,0.00,0.02,-0.01,0.01
34683.00,0.02,0.00,0.00,0.01,0.01,0.01,0.00,-0.01,0.01,0.00,0.00,0.00,0.03,0.00,0.00,0.03,0.01,0.00,0.00,0.01,-0.01,0.02,0.01,0.00
34684.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.01,0.00,0.00,0.00,0.01,-0.01,-0.01,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34687.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.01,-0.01,0.00,0.01,-0.02,-0.01,0.00,0.00,0.00,0.00,-0.01,0.00,-0.01,0.00
34688.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,-0.01,0.00,0.00,0.01,0.01,0.01,0.00,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00
34689.00,0.00,0.01,0.00,0.01,0.01,0.00,0.01,-0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01
34690.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.01,0.00,0.00,0.00,-0.01,0.01,0.01,0.00,0.00,0.01,0.00,0.01,-0.01,0.00,0.01,0.01,0.00
34691.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.00,0.00,0.00,-0.01,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
34694.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,-0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34695.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,-0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
34696.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,-0.01,0.00,-0.01,0.00,-0.01,0.00,0.00,0.00,-0.02,0.00,0.00,0.01,0.00,0.01,-0.01,-0.01,0.00
34697.00,0.00,0.01,0.01,0.00,0.01,0.00,0.02,0.00,0.01,0.01,0.00,0.02,-0.01,0.02,0.01,0.00,0.01,0.01,0.00,-0.01,0.01,0.01,0.00,0.00
34698.00,-0.01,0.00,0.00,0.01,0.00,0.01,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.02,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00
34701.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00
34702.00,-0.01,0.00,0.00,-0.01,-0.01,-0.01,0.01,0.01,0.01,0.00,0.00,0.01,-0.04,0.00,-0.02,0.02,0.00,0.00,-0.01,0.00,0.00,0.00,0.01,0.00
34703.00,-0.01,-0.01,0.00,-0.01,0.00,-0.01,0.01,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,0.00,0.00,-0.01,-0.01,0.00,0.01,0.00
34704.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,0.00,-0.01,0.00,0.00,0.00,0.01,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00
34705.00,0.00,0.00,0.00,0.00,0.00,-0.01,-0.01,0.00,0.00,0.00,0.00,0.00,-0.03,0.00,0.00,0.00,-0.01,0.00,-0.01,0.00,0.00,0.00,0.00,0.00
34708.00,-0.01,-0.01,0.00,0.00,0.00,0.00,0.00,-0.02,0.01,-0.01,0.00,-0.01,-0.02,-0.01,-0.01,-0.02,0.00,0.00,0.01,0.00,0.02,-0.01,-0.01,0.00
34709.00,0.00,0.01,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,-0.01,0.01,0.01,0.00,0.01,0.00,-0.01,0.00,0.00
34710.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,-0.01,0.00,0.00,-0.01,-0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.00
34711.00,0.00,0.00,0.00,-0.01,0.00,0.01,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,-0.03,0.01,0.00,0.00,0.00,0.00,-0.01,-0.03,-0.01,0.00
34712.00,-0.01,-0.01,-0.01,0.00,0.00,-0.01,0.00,0.01,-0.01,0.00,0.00,-0.02,-0.03,0.00,0.00,0.02,0.00,0.00,0.00,-0.01,-0.01,-0.01,0.00,0.01
34715.00,0.01,0.00,0.01,0.01,0.00,0.01,0.00,0.02,0.00,0.01,0.01,-0.01,0.03,0.00,0.00,0.05,0.00,0.01,0.01,0.00,-0.01,0.01,0.02,0.01
34716.00,0.00,-0.01,0.00,-0.01,-0.01,0.00,0.00,0.00,-0.01,-0.01,-0.01,-0.01,0.01,0.00,0.01,-0.01,-0.01,-0.01,-0.01,0.00,0.00,0.00,0.00,0.00
34717.00,0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,-0.02,0.01,-0.01,0.00,0.01,0.01,0.00,-0.01,0.00,0.00
34718.00,0.01,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,-0.01,0.00,-0.02,-0.01,0.00,0.00,-0.01,0.00,0.00,0.02,-0.01,-0.01,-0.01,-0.01
34719.00,0.00,-0.01,0.00,-0.02,0.01,0.00,0.01,0.01,0.01,0.00,0.00,0.02,-0.02,0.00,0.00,0.02,-0.01,0.01,0.01,-0.01,-0.01,-0.02,0.01,-0.01
34722.00,-0.01,0.00,-0.01,-0.01,-0.02,-0.01,-0.01,-0.02,-0.03,-0.02,-0.01,0.00,-0.04,-0.02,0.01,0.01,-0.05,-0.01,-0.02,0.00,-0.01,-0.05,-0.02,0.00
34723.00,0.00,0.00,0.00,0.01,0.00,-0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,-0.02,0.00,0.01,0.01,0.01,-0.01,-0.02,0.01,0.01,0.00
34724.00,-0.01,0.00,0.00,0.01,-0.01,0.00,0.01,0.00,-0.01,0.00,0.00,-0.01,0.03,0.01,0.02,-0.02,0.01,-0.01,0.00,-0.01,-0.01,0.02,-0.01,0.00
34725.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.00,0.00,0.01,0.01,0.00
34726.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.01,0.00,0.01,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.00,0.00
34729.00,-0.01,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,-0.02,0.01,-0.01,0.06,0.00,0.04,0.00,0.00,0.01,0.00,0.02,0.00,0.00
34730.00,-0.02,0.00,-0.01,0.01,-0.01,-0.01,0.00,0.00,-0.01,-0.01,0.00,-0.01,0.00,-0.01,-0.01,0.00,-0.01,-0.01,0.01,-0.01,0.01,0.00,-0.01,0.00
34731.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.11,0.00,-0.01,0.00,0.00,0.01,0.01,0.00,0.01,0.00
34732.00,0.01,-0.01,0.00,0.01,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.02,0.00,0.00,-0.01,0.00,-0.01,0.00,0.00,0.01,0.01,0.01,0.00,0.00
34733.00,-0.01,-0.02,0.00,0.01,0.00,0.00,-0.01,0.01,0.01,0.01,0.00,-0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01
34736.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.01,0.01,0.00,-0.01,0.05,0.00,-0.80,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.01
34737.00,-0.01,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,-0.01,0.01,0.01,-0.02,0.00,-0.01,0.00,0.00,-0.02,0.00,-0.01,0.00,0.00
34738.00,-0.01,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,-0.01,-0.01,0.00,0.01,0.00,-0.01,0.00,-0.01,0.00,0.00,-0.01,-0.01,0.00
34739.00,0.00,0.01,0.00,0.00,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.01,0.02,0.00,0.04,0.00,-0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.00
34740.00,0.01,0.00,0.01,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.02,-0.01,0.00,0.00,-0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.00
34743.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,-0.01,0.04,0.00,0.00,0.06,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34744.00,-0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.02,0.01,0.00,-0.01,0.01,-0.01,-0.01,-0.01,0.01,-0.01,0.00,0.00,0.00,0.00,-0.01,0.01,0.00
34745.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.00,0.00,0.00,-0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.00
34746.00,0.01,0.00,0.01,-0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.05,-0.02,0.00,0.00,0.01,0.01,0.00,0.00,-0.01,0.00
34747.00,-0.01,0.01,0.00,0.00,-0.01,0.00,0.00,-0.01,-0.02,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,-0.01,-0.01
34750.00,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,-0.02,0.00,-0.04,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00
34751.00,0.01,0.00,-0.01,0.00,0.00,-0.01,0.00,-0.01,-0.01,-0.01,0.00,0.00,0.02,0.00,0.00,-0.03,0.00,0.00,-0.02,0.00,0.00,-0.01,0.00,0.00
34752.00,0.01,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,-0.02,0.00,-0.04,-0.02,0.00,0.00,0.00,0.00,0.01,-0.01,0.00,0.00
34753.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,-0.03,-0.01,-0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.00
34754.00,0.01,0.00,0.00,-0.01,0.00,0.00,0.00,-0.01,0.01,-0.01,-0.01,0.00,0.03,0.00,0.00,-0.02,-0.01,-0.01,-0.01,0.01,0.00,0.01,0.00,0.00
34757.00,-0.01,0.01,0.01,-0.01,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,-0.01,0.00,0.02,-0.03,-0.03,0.01,-0.01,0.00,0.01,-0.01,-0.01,-0.01
34758.00,0.01,0.01,0.00,0.01,0.00,0.00,0.01,0.01,0.01,-0.01,0.00,-0.01,0.02,0.00,-0.01,0.02,0.02,-0.01,0.01,0.00,0.00,0.02,-0.01,0.01
34759.00,-0.01,0.00,0.00,-0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.04,-0.01,0.00,0.00,0.00,0.00,-0.01,0.01,0.00
34760.00,0.00,0.01,0.00,-0.01,0.00,0.00,0.00,0.01,-0.02,0.00,0.00,0.00,-0.01,0.00,0.02,-0.02,0.03,0.00,0.00,0.00,0.00,0.00,-0.02,0.00
