DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA
35247.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,-0.01,0.01,0.00,0.02,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35248.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00
35249.00,0.00,-0.01,-0.01,0.00,0.00,0.00,0.00,0.01,0.00,-0.01,0.00,-0.02,0.00,0.00,0.01,0.01,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00
35250.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,-0.01,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.01,0.00
35251.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,-0.01,0.00,0.00,0.01
35254.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,-0.01,0.00,0.00,0.00,0.01,0.01,-0.01,0.00,0.00,0.00,0.01,0.01,-0.01,0.01,0.00,0.00
35255.00,0.00,0.00,0.00,-0.01,-0.01,0.00,-0.01,0.00,-0.01,0.00,0.00,0.00,0.00,-0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.00,-0.01,0.00
35256.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.02,0.00,0.00,-0.01,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,-0.01,0.02,-0.01,0.00,-0.01
35257.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.00,-0.01
35258.00,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.00,0.00,0.02,0.00,0.01,0.00,0.00,0.00,-0.01,0.01,0.00,0.01,0.00,0.00,0.00
35261.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,-0.02,0.02,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00
35262.00,0.00,0.00,-0.01,0.00,0.00,0.02,0.00,0.01,-0.01,0.00,0.00,-0.01,0.01,0.02,0.02,0.01,0.00,0.01,-0.01,-0.01,0.00,0.00,-0.01,-0.01
